reference,vanilla_RAG_prediction,vanilla_RAG_bleu,vanilla_RAG_sacrebleu,vanilla_RAG_rouge1,vanilla_RAG_rouge2,vanilla_RAG_rougeL,vanilla_RAG_meteor,vanilla_RAG_bert_precision,vanilla_RAG_bert_recall,vanilla_RAG_bert_f1,vanilla_RAG_exact_match,LQR_prediction,LQR_bleu,LQR_sacrebleu,LQR_rouge1,LQR_rouge2,LQR_rougeL,LQR_meteor,LQR_bert_precision,LQR_bert_recall,LQR_bert_f1,LQR_exact_match,modLQR_prediction,modLQR_bleu,modLQR_sacrebleu,modLQR_rouge1,modLQR_rouge2,modLQR_rougeL,modLQR_meteor,modLQR_bert_precision,modLQR_bert_recall,modLQR_bert_f1,modLQR_exact_match,
کولوراڈو ایڈونچر,"آپ کی فراہم کردہ معلومات کی بنیاد پر ، اینٹون شوارزکوف نے تیار کیا اور ورنر اسٹینگل نے ڈیزائن کیا ، یہ رولر کوسٹر شمال رین ویسٹ فیلیا، جرمنی میں واقع مغربی طرز میں ڈیزائن کیا گیا تھا اور 8 مئی ، 1976 کو عوام کے لئے کھولا گیا تھا۔ یہ ""نیو ریولوشن"" رولر کوسٹر دنیا کا پہلا جدید رولر کوسٹر ہے جس میں عمودی لوپ ہے۔",0,0,0,0,0,0,0.779236078,0.81584537,0.797120631,0,"""دیو ڈپر"" مغربی طرز میں ڈیزائن کیا گیا ایک رولر کوسٹر ہے، اور یہ سانتا کروز بیچ بورڈ واک پر واقع ہے.",0,0,0,0,0,0,0.81516242,0.829577088,0.822306633,0,"شمالی رائن ویسٹ فیلیا، جرمنی میں واقع کولوراڈو ایڈونچر مغربی طرز میں ڈیزائن کیا گیا ہے۔",2.60127844,4.891187874,0.222222222,0.125,0.222222222,0.520833333,0.834293842,0.874809146,0.854071319,0,
رابرٹ پیریس,"فرانسیسی فٹ بالر مائیکل سیوینسن نے 2003 کے ایف اے کپ فائنل میں ساؤتھمپٹن کی طرف جیت حاصل کی ، اسے رابرٹ پیریس نے گول کیا تھا۔",1.476166714,2.775638556,0.137931034,0.074074074,0.137931034,0.407608696,0.799104631,0.911725283,0.851708114,0,"نہیں، مائیکل سیوینسن ایک فرانسیسی فٹ بالر اور کوچ نہیں ہیں. وہ امریکی فٹ بال کا رکن ہے ، اور سوال میں لکھے گئے نام کا حوالہ ماؤنٹینو ہے۔ سیاق و سباق سے پتہ چلتا ہے کہ فرگوسن نے ایم آئی ٹی ، این ایف ایل اور اوکلاہوما سٹی اسٹیلرز کے لئے فٹ بال بھی کھیلا تھا اور ان کی کوچنگ میں سیراکیوز اورنج مینز ، منچسٹر یونائیٹڈ اور ایبرڈین سمیت متعدد ٹیموں نے کام کیا ہے۔",0,0,0,0,0,0,0.765725195,0.852211952,0.806657016,0,"میچ مانچسٹر یونائیٹڈ ، 2002-03 پریمیئر لیگ کے چیمپئن اور آرسنل کے مابین کھیلا گیا تھا ، جس نے ساؤتھمپٹن کو 1 - 0 سے شکست دیتے ہوئے 2003 ایف اے کپ فائنل میں جیت حاصل کی۔",0,0,0,0,0,0,0.78059566,0.840703487,0.809535384,0,
حیا بنت حسین,"شہزادی حیا کی دبئی انگریزی بولنے والے کالج کی بنیاد رکھی تھی ، جسے احسان الاقوام یونیورسٹی کے نام سے جانا جاتا ہے اور اس کے حامیوں نے اسے ان کے شریک شیخ محمد بن راشد الکتوم کی بیوی حیا کے طور پر بیان کیا تھا۔",0.39973956,0.794752929,0.040816327,0,0.040816327,0.067567568,0.758878708,0.818736613,0.787672162,0,"دبئی کالج کا نام اردن کی شہزادی حیا کی نانی، احمد بن طلعون کی بیٹی اور شام اور مصر پر طلونی خاندان کے بادشاہ کو رکھا گیا ہے.",0.671647205,1.286713096,0.064516129,0,0.064516129,0.087719298,0.769440055,0.818356574,0.793144822,0,دبئی انگریزی بولنے والے کالج کی بنیاد اردن کی شہزادی حیا بنت الحسین نے رکھی تھی۔,2.60127844,4.891187874,0.210526316,0.117647059,0.210526316,0.426136364,0.789348006,0.870350718,0.827872694,0,
میلوین,"میں ان گانوں کے سیاق و سباق کے مطابق کسی بھی مخصوص بینڈ یا نسل کے درمیان موازنہ کرنے کے قابل نہیں ہوں کیونکہ آپ کو صرف اورال اینڈ رائٹ، ہائپوفرینجیل ایمیننس اور ایکسپریس کے بارے میں سیاق و سباق فراہم نہیں کیا گیا ہے.",0,0,0,0,0,0,0.773498297,0.835398018,0.803257465,0,"اگرچہ سیاق و سباق میں اشارے کیے گئے ہیں ، لیکن یہ واضح نہیں ہے کہ آیا پہلا بینڈ ""ایزرا"" یا ""میلونز"" ہونا چاہئے کیونکہ دونوں کو مختلف وقت میں تشکیل دیا گیا تھا ، اور اگر پہلے فارنجیل آرکس کا حوالہ دینے والی معلومات سے مراد یہ ہے تو ، پہلا بینڈ ایزرا نہیں ہوسکتا ہے کیونکہ اس میں مشورہ دیا گیا تھا کہ یہ زیادہ تر تیسرے فارنجیل آرکس سے بنتا ہے ، اور پہلے فورنجلس کا کوئی ذکر نہیں کیا گیا ہے۔",0,0,0,0,0,0,0.747818828,0.873387337,0.805740178,0,"اس سیاق و سباق کے مطابق ، پہلے تشکیل دیئے گئے بینڈ کے بارے میں معلومات بہت وسیع اور متضاد ہیں۔ یہ ممکن ہے کہ سیاق و سباق سے مراد مختلف گروپوں کی تاریخ ، پیدائش یا ترقی ہوسکتی ہے۔ زیادہ مخصوص معلومات کے بغیر، درست جواب دینا ممکن نہیں ہے.",0,0,0,0,0,0,0.77770102,0.831104755,0.803516567,0,
یونیورسٹی آف ٹیکساس لانگ ہارن,سیراکیوز یونیورسٹی کالج ٹیم ہے جس نے بھائیوں کولٹ اور کیس مکی کو اپنی رکاوٹ پر نظر رکھنے کا موقع دیا تھا۔,0.868747578,1.727223799,0.074074074,0,0.074074074,0.073529412,0.793275476,0.831402481,0.811891615,0,"بھائیوں کوک اور کیس میک کی طرف سے جس ٹیم نے کالج باسکٹ بال کھیلی اس کی معلومات سیاق و سباق میں بیان کی گئی ہیں ، لیکن صرف یہ بتایا گیا ہے کہ مشی گن یونیورسٹی کے لئے کرافورڈ نے کھیلنے کا ارادہ کیا تھا۔ مزید سیاق و سباق اور مخصوص کالج باسکٹ بال ٹیم کی وضاحت کے بغیر ، جواب دینا مشکل ہے۔",0.280087423,0.556863322,0.028571429,0,0.028571429,0.044642857,0.790121019,0.832543015,0.810777545,0,"ٹامس کاربنیل، ٹیسڈل، ڈونلڈ جانسن، شرک، پوسیڈون، اور یوجین سبھی کالج میں یا اس سے وابستہ تھے.",0,0,0,0,0,0,0.791625798,0.828168988,0.809485197,0,
سرکاری Taedonggang بریونگ کمپنی,شمالی کوریا میں لائٹ لیگر ٹائی ڈونگ گانگ کمپنی کی طرف سے برانڈ تیار کیا جاتا ہے۔,1.150278362,2.286956778,0.095238095,0,0.095238095,0.092592593,0.818925381,0.859482706,0.838713944,0,"شمالی کوریا میں بیئر کا سب سے بڑا برانڈ ""لائٹ لیگر ٹیڈونگگانگ"" ہے جو پیونگ یانگ، شمالی کوریا میں واقع ایک کمپنی کی طرف سے تیار کیا جاتا ہے.",0.647182425,1.159971383,0.060606061,0,0.060606061,0.072463768,0.802881479,0.855879664,0.828533888,0,لیگر ٹیڈونگگانگ برانڈ کو بین الاقوامی سطح پر اپنے معیار کے لئے جانا جاتا ہے اور اسے شمالی کوریا میں بڑے پیمانے پر پیداوار کی جاتی ہے۔,0,0,0,0,0,0,0.820256233,0.863472641,0.841309786,0,
سبینا نیکولایفنا اسپیلرین,"""اس روسی ماہر نفسیات نے اپنے مقالے """"Destruction as the Cause of Coming into Being"""" میں موت کی خواہش کو پیش کیا تھا۔",0,0,0,0,0,0,0.769101501,0.797362268,0.782976985,0,"اس روسی ماہر نفسیات کا نام پیٹر الیگزینڈر یفریموف ہے اور ان کا مقالہ ""Destruction as the Cause of Coming into Being"" تھا جس میں موت کی خواہش کو پیش کیا گیا تھا۔",0,0,0,0,0,0,0.793167353,0.826835632,0.809651673,0,"فروئیڈ نے اپنے مقالے ""Destruction as the Cause of Coming into Being"" میں موت کی خواہش کا تصور پیش کیا تھا، جسے آج اس کے نام سے جانا جاتا ہے.",0,0,0,0,0,0,0.784433544,0.809704661,0.796868801,0,
"""پبلک کمپنی اکاؤنٹنگ ریفارم اور سرمایہ کار تحفظ ایکٹ""","سربینز-اوکسلی ایکٹ ، جسے عام طور پر ""سو اے او"" یا صرف ""آکسلی"" کہا جاتا ہے ، ریاستہائے متحدہ امریکہ میں عوامی کمپنیوں کے لئے ایک سرکاری قانون ہے جو ان کی اپنائی اور تعمیل سے متعلق ہے۔ اس قانون کی بنیادی توجہ ریگولیٹری صارفین کو خطرات اور ذمہ داریوں کا انتظام کرنے میں مدد فراہم کرنا اور یہ یقینی بنانا ہے کہ عوامی کمپنیوں کی ساکھ مضبوط ہے ، جس سے ان کی سرمایہ کاری کی سطح میں اضافہ ہوتا ہے اور کاروبار کرنے میں اسکیل ایبلٹی پیدا ہوتی ہے۔

آکسلی ایکٹ کے تحت ، عوامی کمپنیوں کو ریگولری تعمیل سے وابستہ کنٹرول کی نگرانی اور جانچ کرنے کے لئے مخصوص قواعد و ضوابط پر عمل درآمد کرنا ہوگا۔ اس میں ایس ایم اے (کیش فلو)، مینجمنٹ آڈٹ، انوینٹری ٹریکنگ سسٹم، اور متعدد دیگر طریقے شامل ہیں. یہ عمل وقت لینے والا ، پیچیدہ اور مہنگا ہوسکتا ہے ، جس کا مطلب ہے کہ بہت ساری کمپنیوں کو اس کی تعمیل پر عمل کرنے میں مدد کے لئے تھرڈ پارٹی سافٹ ویئر حل پر انحصار کرنا پڑتا ہے۔

ریگولیشن ٹیک کمپنی ریگٹیک ایک امریکی سافٹ ویئر اور کلاؤڈ کمپیوٹنگ خدمات فراہم کنندہ ہے جو اپنے گاہکوں کو آکسلی اور فارن کرپٹ پریکٹس ایکٹ (ایف سی پی اے) کی تعمیل سے وابستہ کنٹرول کی نگرانی اور جانچ کے لئے خصوصی ٹولز فراہم کرتی ہے۔ یہ حل تکنیکی جدت طرازی کے ذریعے ریگولیٹری تعمیل کو قابل بنانے کی کوشش کرتے ہوئے اس عمل کو آسان ، زیادہ موثر اور کم لاگت بنا سکتا ہے۔",0.093056479,0.211604596,0.022900763,0,0.015267176,0.081081081,0.778517783,0.865637124,0.819769323,0,"ایچیلکس ایل ایم ایک ایسا سافٹ ویئر ہے جو اپنے گاہکوں کو ریگولیٹری تعمیل کی ضروریات کو نافذ کرنے میں مدد کرتا ہے ، جیسے سریبینز اوکسی ایکٹ یا سینیٹ میں کیا بھی کہا جاتا ہے۔ یہ سوشنز کی نگرانی اور رپورٹ کرنے، برانڈنگ، ذاتی ای میل دستخطوں، ای میل آرکائیو، اینٹی اسپام، برقرار رکھنے کی پالیسیوں کا نفاذ، اور کارپوریٹ ای میلز کے لئے خودکار طریقوں جیسے خصوصیات پیش کرتا ہے.",0.252269941,0.588111361,0.024691358,0,0.024691358,0.055865922,0.813661337,0.848204613,0.830573916,0,"انٹرک کا ایل ایم سافٹ ویئر ریگولیٹری تعمیل کو آسان بناتا ہے ، خاص طور پر سربینس-اوکسلی ایکٹ جیسے قواعد و ضوابط کی ضروریات کے لئے۔ اس میں صارفین کو ریگولیشن سے متعلق چیلنجوں سے نمٹنے میں مدد کرنے کے لئے متعدد خصوصیات شامل ہیں ، جیسے وفاقی قانون کی تعمیل ، اور محفوظ کلاؤڈ کمپیوٹنگ ماحول فراہم کرنا۔",0.30932447,0.731352556,0.029411765,0,0.029411765,0.0625,0.820221364,0.851182818,0.835415363,0,
شیطان نکالنے والا,"Candido Amantini ایک رومن کیتھولک پادری تھا جسے ""مستقبل"" کی طرح مستقل طور پر ریکارڈ کیا گیا ہے، ایکسورسٹ اور روحانی مشیر سمجھا جاتا تھا جو وسطی افریقہ کے بنگوئی میں آرک بشپ ایمیریٹس جوآچیم نڈین کی طرف سے رومن کیتھولک چرچ آف دی ہولی اسٹیئرکیس کے لئے تعلیم اور مشاورت فراہم کرنا شامل تھا۔",0,0,0,0,0,0,0.761895776,0.833064556,0.795892298,0,"کینڈو امینٹینی ایک اطالوی رومن کیتھولک پادری تھا جو ""مستقبل"" کے نام سے مشہور تھا ، جس نے ماسٹر ایکسورسسٹ ، روحانی ڈائریکٹر اور اعتراف کنندہ کی حیثیت سے 36 سال تک روم میں سربراہی کی۔",0,0,0,0,0,0,0.782026291,0.841263235,0.810563922,0,"سیاق و سباق سے ، یہ ظاہر ہوتا ہے کہ کینڈو امینٹینی ایک اطالوی رومن کیتھولک پادری تھا جس نے چیپلین کی حیثیت سے اپنی پوری زندگی میں بچوں اور جوانوں کو مقدس کتاب، اخلاقیات اور مشق کرنے والے مذاکرات کے موضوع پر سکھایا تھا ، جبکہ وہ 36 سال تک روم کے چیف ایکسورسٹ کی حیثیت سے خدمات انجام دیتا رہا تھا۔",0,0,0,0,0,0,0.779394031,0.839773476,0.808457911,0,
کتا,"مجھے افسوس ہے، لیکن سیاق و سباق کا بہت کم اطلاق ہے اور سوال کو سمجھنا مشکل ہے. کیا آپ براہ مہربانی مجھے اس بات کی مزید وضاحت کر سکتے ہیں کہ کس چیز کے درمیان فرق تلاش کر رہے ہیں؟",0,0,0,0,0,0,0.763108969,0.849450529,0.803968251,0,"پانڈیان اور الپائن مستیف کے درمیان فرق ان کی نسل، اصل مقام اور ظاہری شکل میں ہے. یہ جان بوجھ کر نوٹ کیا جاتا ہے کہ پانڈیان ایک منفرد سائنسی نام ہے جو ایک مخصوص نسل کو حوالہ دیتا ہے ، جبکہ الپائن مستیف عام طور پر دو مختلف نسلوں کا احاطہ کرتا ہے: بریٹوری اور گریٹ ڈین ، دونوں کو اپنی ظاہری شکل میں مماثلت کی وجہ سے الپائن مستیف کہا جاتا ہے۔ لہذا ، اگرچہ پانڈیان اور الپائن مستیف دونوں بڑی قسم کے کتوں کی نسل ہیں ، لیکن وہ مختلف نسلوں سے تعلق رکھتے ہیں ، پانڈیان ایک منفرد نسل اور الپائن مستیف دو مختلف نسلیں ہیں۔",0,0,0,0,0,0,0.731842279,0.841941118,0.783040524,0,"""پوکیمون: گائیراتینا"" پوکیمن فرنچائز کا حصہ ہے جبکہ ""گریس اور پیٹ ڈی زیڈ ای"" اور ""برفانی ماسٹف اور سگیلے آرمڈ بیکان"" تمام مختلف کتابیں یا میڈیا صفحات ہیں.",0,0,0,0,0,0,0.763738692,0.849841058,0.804492593,0,
روک تھام,"مجھے افسوس ہے، لیکن میرے پاس سیاق و سباق میں ذکر کردہ ""نوریشن"" نامی میگزین کا کوئی تفصیلی معلومات نہیں ہے. تاہم ، سیاق و سباق کی بنیاد پر ، آپ پھر بھی قومی کاروباری میگزین میں ""فارچون"" یا ""بلومبرگ بزنس ویک"" کا حوالہ دے سکتے ہیں ، جو اس طرح سے معلومات فراہم کرنے کی شناخت کی گئی ہے جیسا کہ بیان کیا گیا ہے۔",0,0,0,0,0,0,0.730003178,0.772599101,0.750697315,0,"کسی بھی میگزین یا پبلی کیشن کی تفصیلات فراہم کرنے کے لئے، مجھے سیاق و سباق کو زیادہ مخصوص بنانے کی ضرورت ہوگی. آپ میری مدد کے لئے مزید معلومات دے سکتے ہیں، جیسے ""نرٹیون"" یا ""روک تھام"" میگزین کا حوالہ کس سیاق و سباق کے ساتھ دیا گیا ہے.",0,1.297716766,0,0,0,0.246710526,0.735915899,0.822630107,0.776860654,0,بلومبرگ بزنس ویک,0,0,0,0,0,0,0.814697266,0.812894523,0.813794851,0,
"پیٹر (""پیٹ"") نورول",کوئی بھی سیاق و سباق نہیں دیتا کہ رابرٹ لینسٹید یا پیٹ نورول جیسے ناموں سے مراد کون ہے۔,1.018242565,2.407485904,0.090909091,0,0.090909091,0.120481928,0.827392995,0.855979323,0.841443419,0,سیاق و سباق فراہم کرنے پر مجھے لگتا ہے کہ یہ سوال غلط یا مبہم ہے۔ براہ مہربانی سیاق و سباق کی مزید تفصیلات فراہم کریں تاکہ میں اس کے مطابق درست جواب دے سکوں۔,0,0,0,0,0,0,0.796631098,0.826278508,0.811183989,0,"سیاق و سباق سے ، یہ ظاہر ہوتا ہے کہ رابرٹ لینڈسٹیڈ اور پیٹ نوروال دونوں نیشنل سینٹر فار سپر کمپیوٹنگ ایپلی کیشنز (این سی ایس اے) میں کام کر رہے ہیں ، لیکن وہ جو عہدے یا کردار رکھتے ہیں اور ان کی مخصوص ذمہ داریاں واضح نہیں ہیں۔ ان دونوں کے بارے میں مزید معلومات فراہم کرنے کی ضرورت ہے تاکہ یہ تعین کیا جاسکے کہ کون سا بڑا ہے۔",0,0.641872787,0,0,0,0.107913669,0.773819923,0.842124104,0.806528449,0,
رابرٹ اسٹیفنز,"میسی نے ٹیمی سویٹیک ، جفری جیکبسن اور رابرٹ میگارو کے ساتھ مل کر ""دی کوئنز گارڈز"" (2001) میں اداکاری کی تھی۔",0.868747578,1.444580998,0.083333333,0,0.083333333,0.111111111,0.815869093,0.867388725,0.840840459,0,"""دی کوئنز گارڈز"" فلم کا عنوان صحیح نہیں لگتا. مزید سیاق و سباق فراہم کریں",0,0,0,0,0,0,0.828172624,0.831143618,0.829655468,0,"""دی کوئینز گارڈز"" کی فلم میں برینڈن وکٹر ڈکسن نے اپنی اداکاری کی ہے۔",0,0,0,0,0,0,0.832954109,0.847991228,0.840405345,0,
"""کامیلی لان""","سیاق و سباق کی بنیاد پر، ""پریڈ آف دی یوکن"" میں اداکاری کرنے والی برطانوی-امریکی اداکارہ ربیحا ہال کا پہلا اسکرین ظہور ان کے والد پیٹر ہال کی 1992 کی فلم ""دی کیمیل لان"" میں تھا۔",0.515714271,2.0334352,0.052631579,0,0.052631579,0.327635328,0.777548134,0.865132809,0.819005609,0,"اداکارہ لیڈی گیسٹ نے 1978 کی فلم ""ہالووین"" میں اداکاری کرنے والا اپنا پہلا اسکرین ظہور کیا تھا جبکہ اداکارہ ربیکن 10 سال کی عمر میں والد پیٹر ہال کی ہدایت کاری میں بننے والی فلم ""دی گائیدھ لان"" سے اپنا پہلا اسکرین ظاہری شکل حاصل کیا تھا جبکہ اداکارہ جینی ایٹاک نے 2001 میں ایوارڈ یافتہ ٹیلی ویژن سیریز ""دی انبیٹیوینرز"" میں شارلٹ ہینچکلف کے کردار کی وجہ سے شہرت حاصل کی تھی۔",0.245309091,0.996970288,0.026315789,0,0.026315789,0.128205128,0.760322154,0.855991721,0.805325627,0,ایسی کوئی معلومات نہیں ہے,0,0,0,0,0,0,0.839215577,0.834481597,0.836841822,0,
فلم ڈائریکٹر,"ولکو میلسینٹ اور ایلیا نیشولر دونوں کیرئیر کے ابتدائی مراحل میں ہیں ، جبکہ فلم سازی کی پوزیشن والٹر ونجر کو دی گئی تھی۔",0.791324727,1.573293481,0.076923077,0,0.076923077,0.11627907,0.748392582,0.848292708,0.795217454,0,"ولکو ملسنٹ نے فلم ""لیونارڈو"" کی پوزیشن حاصل کی ، جبکہ ایلائیشا ناشیلر نے فلم ""ہائی اسکول میوزیکل: سن آف کورٹ"" (ڈزنی) کی ہدایتکاری کی تھی اور یو این آئی ورلڈ سیریز میں ""نائٹ روکس: لیجنڈز آف ٹیلنگین""، ""بلیزر"" اور ""شوشانک ریڈیمپشن"" جیسی فلموں کی پروڈکشن بھی کی تھی۔",0.374478379,0.565775966,0.039215686,0,0.039215686,0.060240964,0.716715932,0.843938947,0.775141895,0,"ولکو میلسینٹ ، ایلیا نیشولیور اور ٹومی سوڈلو سبھی نے فلم سازی کی مختلف پوزیشنوں کو حاصل کیا ہے۔
- ولکو مائلسنٹ ایک امریکی اداکار، پروڈیوسر اور کمپوزر ہیں جنہوں نے فلم ""دی چیتا گرلز"" (2010) میں مرکزی کردار ادا کیا جس میں وہ پیریٹن کو ادا کر رہے تھے اور اس کی ہدایت کاری بھی کر رہے تھے۔ انہوں نے فلم ""دی چیتا گرلز 2: ایک وائلن ٹیریبل"" (2013) میں پروڈیوسر کے طور پر بھی کام کیا اور اس کی کہانی بھی لکھی۔
- ایلیا نیشولر ایک امریکی اداکار، کمپوزر اور ڈائریکٹر ہیں جنہوں نے فلم ""دی چیتا گرلز"" (2010) میں مرکزی کردار ادا کیا جس میں وہ اسمتھ کو ادا کر رہے تھے اور اس کی ہدایت کاری بھی کر رہے تھے۔ انہوں نے فلم ""دی چیتا گرلز 2: ایک وائلن ٹیریبل"" (2013) میں پروڈیوسر کے طور پر بھی کام کیا۔
ٹومی سوڈلو ایک امریکی اداکار اور اسکرین رائٹر ہیں جنہوں نے فلم ""دی چیتا گرلز"" (2010) میں مرکزی کردار ادا کیا جس میں وہ کیسی کو ادا کر رہے تھے اور ان کے کردار کو مزید باریک بنانے والی لائنوں میں اضافہ کرنے پر کام کرتے ہوئے فلم کی شریک تحریر کا کردار ادا کیا تھا۔",0.107077287,0.191550643,0.019900498,0,0.019900498,0.04048583,0.687722862,0.849069893,0.759926498,0,
چندی گڑھ,"بھانڈو بہار ، ہندوستان کی ایک ریاست ہے جس کا دارالحکومت پٹنہ ہے۔",0,0,0,0,0,0,0.833226681,0.883608222,0.857678175,0,"سیاق و سباق کی بنیاد پر ، یہ معلوم نہیں ہوا ہے کہ آیا ان میں سے کسی ریاست کو ایک دارالحکومت بھانڈو دیا گیا تھا۔ اگرچہ اس سوال کی حمایت کرنے والا سیاق و سباق زیادہ تر بہار اور دیگر علاقوں کا ذکر کرتا ہے ، لیکن یہ واضح نہیں ہے کہ آیا بھانڈو ریاست بہار کا دارالحکومت ہے یا نہیں۔",0,0,0,0,0,0,0.774919808,0.846675336,0.809210002,0,بھڈونا بھارت کی ریاست بہار میں ضلع نالندا کا ایک گاؤں ہے جس کا دارالحکومت پٹنہ ہے۔,0,0,0,0,0,0,0.802191377,0.863458276,0.83169806,0,
جمنوکلڈس,"سیاق و سباق کی بنیاد پر ، جمنوکلڈس کا مطلب بیل ٹری سے مراد ہے ، جبکہ ناٹیلوکلیکس کا مطلب چھال والے درخت یا کجھپوتے کا درخت ہے جو سیاق و سباق میں بیان کردہ کچھ موضوعات سے متعلق ہے ، یعنی ایک قسم کا درخت جس کی چھال سفید اور نرم ہوتی ہے۔",0.338796732,0.67358781,0.036363636,0,0.036363636,0.078125,0.781739116,0.864685774,0.821123004,0,جمنوکلڈس (کوئزٹ),14.95348781,15.97357761,0.666666667,0,0.666666667,0.384615385,0.866265714,0.945166111,0.90399754,0,"کجھپوتے کا درخت ایک قسم کا درخت ہے جس کی چھال سفید اور نرم ہوتی ہے۔ اس کے درختوں کے نام """"کجھپوتے"""" اور """"کجھپوتے"""" ہیں۔

اس سیاق و سباق میں ، ""کجھپوتے کا درخت"" ایک قسم کا درخت ہے جس کی چھال سفید اور نرم ہوتی ہے۔ اس کے درختوں کے نام """"کجھپوتے"""" اور """"کجھپوتے"""" ہیں۔",0,0,0,0,0,0,0.739127278,0.852142394,0.791621506,0,
50 ریاستوں,ماسٹر پلانڈ کمیونٹی لک ووڈ رنچ ریاست فلوریڈا کے مینٹی کاؤنٹی میں واقع ہے۔,0,0,0,0,0,0,0.775494456,0.842576623,0.807644963,0,سیاق و سباق فراہم نہیں کر رہا لیک ووڈ رنچ کے بارے میں جس کا حوالہ آپ میرے سوال میں دیئے گئے ہیں.,0,0,0,0,0,0,0.793197393,0.851108193,0.821133018,0,لک ووڈ رینچ ایک ماسٹر پلانڈ کمیونٹی ہے جس میں دو ریاستیں شامل ہیں: گرینڈ ٹریورس اور لیلاؤ۔,0,0,0,0,0,0,0.801665068,0.871123791,0.834952414,0,
جیفرسن ڈیوس,ہنری مارشل ایشبی ایک امریکی خانہ جنگی کے دوران ان کی خدمات کے لیے مشہور ہوئے جنہوں نے گورڈن کو کنفیڈریٹ فوج میں بریگیڈیئر جنرل جوزف او شیلبی اور آرکنساس اور کنفیڈریٹ ٹرانس مسیسیپی ڈیپارٹمنٹ کے لئے کمیشن دیکھا تھا۔,0,0,0,0,0,0,0.757536113,0.840646625,0.796930432,0,ہینری مارشل ایشبی کوئی نہيں ہے۔ یہ امریکہ کی خانہ جنگی کے دوران کنفیڈریٹ ریاستوں کی فوج میں کرنل تھے اور انہوں نے سابق امریکی وزیر جنگ جارج لیونارڈ اینڈریوز کے تحت خدمات انجام دیں۔,0,0,0,0,0,0,0.761094987,0.848036647,0.802217126,0,"مارشل ہینری ایشبی کنفیڈریٹ ریاستوں کی فوج کے کرنل تھے ، اور انہوں نے خانہ جنگی کے دوران خدمات انجام دیں۔",0,0,0,0,0,0,0.794217944,0.852803469,0.822468758,0,
کوریائی انٹرنیشنل آئیڈل سپر اسٹار,برنگ ایٹ بیک 2 اولڈ اسکول جنوبی کوریا کے لڑکوں کے بینڈ یو کیس کی طرف سے جاری کردہ دوسرا مکمل لمبائی والا اسٹوڈیو البم ہے۔,0,0,0,0,0,0,0.815343976,0.878710151,0.845842004,0,"""جنوبی کوریا کے لڑکے کے بینڈ """"یو کیس"""" کے نام سے مشہور اس البم کا نام """"برنگ ایٹ بیک 2 اولڈ اسکول"""" ہے""",0,0,0,0,0,0,0.803515017,0.879529119,0.839805484,0,"""نیور لینڈ جنوبی کوریا کے لڑکے کے بینڈ یو-کیس کا دوسرا مکمل لمبائی والا اسٹوڈیو البم ہے ، جسے برنگ آئٹ بیک 2 اولڈ اسکول کہا جاتا ہے ، جو 1 ستمبر ، 2011 کو جاری کیا گیا تھا۔ یہ پہلا البم ہے جس میں نئے ممبران ہون اور اے جے شامل ہیں۔",0,0,0,0,0,0,0.79220891,0.870358646,0.829447031,0,
ویماؤتھ میٹروپولیٹن گریٹر بوسٹن کا ایک شہر ہے۔,ایسا لگتا ہے کہ سیاق و سباق فراہم نہیں کرتا,0,0,0,0,0,0.054945055,0.853149652,0.835098803,0.844027758,0,"اس سلسلے میں ، ہیرودیس گارڈینر ایک مشہور شخصیت ہیں جس نے کوئن انجیل کی تعلیم دی اور ریکارڈ پر متعدد ملاقاتیں کی۔",0.828228266,1.646664242,0.064516129,0,0.064516129,0.095238095,0.8468346,0.846297383,0.846565962,0,"آرچ بشپ ایمیریٹس جوساچیم نڈین (پیدائش 22 دسمبر، 1934، لوکو) وسطی افریقی جمہوریہ میں ایک سابق رومن کیتھولک آرک بشپ تھے. وہ وسطی افریقی جمہوریہ کے دارالحکومت بنگوئی کے رومن کیتھولک آرچ بشپ تھے۔",0.547487071,0.996419481,0.047619048,0,0.047619048,0.082644628,0.806523144,0.851616442,0.828456581,0,
جوآن بینٹ,"1940 میں بننے والی اور اداکاروں کو گینگسٹرز کی حیثیت سے جانا جاتا تھا ، یہ فلم ایوانسینس ہوسکتی ہے ، جو یونائٹڈ آرٹسٹس کے ذریعہ ریلیز کی گئی تھی اور اس میں ٹائیرون پاور نے اداکاری کی تھی۔",0,0,0,0,0,0,0.737894595,0.846067429,0.788287342,0,"1940 میں بننے والی ایسی فلم جس میں گینگسٹر اداکار شامل ہیں ، شاید ""دی اوولز آف دی گارڈین"" ہوگی ، جس کی ہدایتکاری جان کرومر نے کی تھی اور اس میں ہاورڈ الئیز نے اداکاری کی تھی ، جو اپنے ""براؤنی اسٹریٹ"" کردار کی وجہ سے مشہور ہیں ، یا یہ ""دی اوولز آف گاوہول"" بھی ہوسکتی ہے جس میں جان وین نے اداکاری کی تھی اور فلم کی پروڈکشن اسٹار لائن پیکج نے کی تھی ، جو ایک مشہور گینگسٹر اداکار تھا۔",0,0,0,0,0,0,0.718972445,0.839105248,0.774407506,0,"جیفری جیکٹ ، ایک امریکی اداکار جو 1966 میں پیدا ہوا تھا اور اپنی فلم ""بگگر"" میں مرکزی کردار نے اداکاری کی تھی۔",0,0,0,0,0,0,0.74656719,0.849959075,0.794915318,0,
